product_id,product_title,product_price,category,seller_id,seller_name,delivery_status,delivery_destination
50,"Limpador de Carburador",29.9000,automotivos,28,"AutoCenter Rio","Em trânsito",Paraná
44,"Óleo de Motor 5W30",49.9000,automotivos,28,"AutoCenter Rio","Em processamento",Acre
56,"Calha de Chuva",119.0000,automotivos,28,"AutoCenter Rio",Entregue,Paraná
59,"Aditivo Radiador",42.5000,automotivos,4,"AutoPeças Oliveira",Obstruído,"São Paulo"
47,"Pneu Aro 15",349.0000,automotivos,4,"AutoPeças Oliveira","Em processamento",Acre
41,"Kit de Freios ABS Hinor",399.9900,automotivos,4,"AutoPeças Oliveira",Obstruído,"Santa Catarina"
53,"Central Multimídia",799.0000,automotivos,4,"AutoPeças Oliveira",Entregue,"São Paulo"
52,"Lampada H7",39.9000,automotivos,12,AutoPerformance,Entregue,"Santa Catarina"
58,"Inflador Portátil",149.0000,automotivos,12,AutoPerformance,"Em processamento","Minas Gerais"
46,"Bateria Automotiva",499.0000,automotivos,12,AutoPerformance,"Em processamento","Rio Grande do Sul"
54,"Capa de Volante",59.9000,automotivos,20,"Mecânica Paulista",Cancelado,"São Paulo"
60,"Cera Automotiva",79.9000,automotivos,20,"Mecânica Paulista",Entregue,Acre
48,"Câmera de Ré",129.9000,automotivos,20,"Mecânica Paulista",Obstruído,"Santa Catarina"
42,"Capacete G7",599.9900,automotivos,20,"Mecânica Paulista",Obstruído,Acre
45,"Limpador de Parabrisa",19.9000,automotivos,44,"Oficina Master",Entregue,"São Paulo"
51,"Cabo de Seta",45.0000,automotivos,44,"Oficina Master",Obstruído,Paraná
57,"Cadeira Infantil",399.9000,automotivos,44,"Oficina Master",Entregue,"São Paulo"
55,"Desembaçador Traseiro",35.0000,automotivos,36,"Pneus & Acessórios",Cancelado,Paraná
43,"Suporte de Celular Veicular",39.9900,automotivos,36,"Pneus & Acessórios",Cancelado,"Rio Grande do Sul"
49,"Tapete Automotivo",89.9000,automotivos,36,"Pneus & Acessórios","Em processamento","Rio Grande do Sul"
139,Santana,23800.0000,automotores,8,"Carros Clássicos BR","Em processamento","Rio Grande do Sul"
127,"Corcel II",27400.0000,automotores,8,"Carros Clássicos BR","Em processamento","Espirito Santo"
121,"Fusca 1300",29900.0000,automotores,8,"Carros Clássicos BR",Entregue,"Rio Grande do Sul"
133,Variant,32700.0000,automotores,8,"Carros Clássicos BR",Cancelado,Paraná
131,"Fiat 147",16900.0000,automotores,40,"Classic Garage",Obstruído,"São Paulo"
137,Dodginho,48200.0000,automotores,40,"Classic Garage","Em processamento","Espirito Santo"
125,"Maverick GT",68900.0000,automotores,40,"Classic Garage",Entregue,"Santa Catarina"
135,Miura,29500.0000,automotores,24,"Colecionadores de Carros","Em trânsito","Rio Grande do Sul"
123,"Opala Comodoro",41500.0000,automotores,24,"Colecionadores de Carros",Cancelado,Goiânia
129,"Kombi Standard",43600.0000,automotores,24,"Colecionadores de Carros","Em processamento",Acre
138,"Fiat Oggi",16300.0000,automotores,48,"Fusca Mania",Obstruído,Paraná
132,"Del Rey Belina",18900.0000,automotores,48,"Fusca Mania","Em processamento","Minas Gerais"
126,"Gurgel X12",23500.0000,automotores,48,"Fusca Mania",Obstruído,"Santa Catarina"
